judge_model,experiment_type,app,variant,detector_model,method,n_removed,n_omissions,n_additions,omissions_match,omissions_partial,omissions_none,reqs_found_via_omissions,additions_match,additions_partial,additions_none,reqs_found_via_additions
claude-sonnet-4-6,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,gpt-5.4,oneshot-warehouse,7,5,2,2,8,0,6,0,0,2,0
gpt-5.4,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,gpt-5.4,oneshot-warehouse,7,5,2,6,5,0,6,0,0,2,0
claude-sonnet-4-6,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,gpt-5.4,twoshot,7,6,3,6,4,0,7,0,0,3,0
gpt-5.4,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,gpt-5.4,twoshot,7,6,3,0,10,0,7,0,0,3,0
claude-sonnet-4-6,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,gpt-5.4,zeroshot,7,7,3,1,10,1,7,0,0,3,0
gpt-5.4,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,gpt-5.4,zeroshot,7,7,3,9,2,1,7,0,0,3,0
claude-sonnet-4-6,restestbench,fastapi,fastapi-R4R10R13R30R35R47,DeepSeek-V3-0324,oneshot-tracker,6,10,3,0,5,5,4,0,0,3,0
gpt-5.4,restestbench,fastapi,fastapi-R4R10R13R30R35R47,DeepSeek-V3-0324,oneshot-tracker,6,10,3,1,4,5,4,0,0,3,0
claude-sonnet-4-6,restestbench,fastapi,fastapi-R4R10R13R30R35R47,DeepSeek-V3-0324,oneshot-warehouse,6,6,3,0,1,5,1,0,0,3,0
gpt-5.4,restestbench,fastapi,fastapi-R4R10R13R30R35R47,DeepSeek-V3-0324,oneshot-warehouse,6,6,3,0,1,5,1,0,0,3,0
claude-sonnet-4-6,restestbench,fastapi,fastapi-R4R10R13R30R35R47,DeepSeek-V3-0324,twoshot,6,5,3,0,1,4,1,0,0,3,0
gpt-5.4,restestbench,fastapi,fastapi-R4R10R13R30R35R47,DeepSeek-V3-0324,twoshot,6,5,3,0,1,4,1,0,0,3,0
claude-sonnet-4-6,restestbench,fastapi,fastapi-R4R10R13R30R35R47,DeepSeek-V3-0324,zeroshot,6,30,4,1,3,26,4,0,0,4,0
gpt-5.4,restestbench,fastapi,fastapi-R4R10R13R30R35R47,DeepSeek-V3-0324,zeroshot,6,30,4,1,2,27,3,0,0,4,0
claude-sonnet-4-6,restestbench,fastapi,fastapi-R4R10R13R30R35R47,claude-sonnet-4-6,oneshot-tracker,6,3,0,2,0,1,2,0,0,0,0
gpt-5.4,restestbench,fastapi,fastapi-R4R10R13R30R35R47,claude-sonnet-4-6,oneshot-tracker,6,3,0,2,0,1,2,0,0,0,0
claude-sonnet-4-6,restestbench,fastapi,fastapi-R4R10R13R30R35R47,claude-sonnet-4-6,oneshot-warehouse,6,3,1,2,0,1,2,0,0,1,0
gpt-5.4,restestbench,fastapi,fastapi-R4R10R13R30R35R47,claude-sonnet-4-6,oneshot-warehouse,6,3,1,2,0,1,2,0,0,1,0
claude-sonnet-4-6,restestbench,fastapi,fastapi-R4R10R13R30R35R47,claude-sonnet-4-6,twoshot,6,2,1,2,0,0,2,0,0,1,0
gpt-5.4,restestbench,fastapi,fastapi-R4R10R13R30R35R47,claude-sonnet-4-6,twoshot,6,2,1,2,0,0,2,0,0,1,0
claude-sonnet-4-6,restestbench,fastapi,fastapi-R4R10R13R30R35R47,claude-sonnet-4-6,zeroshot,6,2,1,2,0,0,2,0,0,1,0
gpt-5.4,restestbench,fastapi,fastapi-R4R10R13R30R35R47,claude-sonnet-4-6,zeroshot,6,2,1,2,0,0,2,0,0,1,0
claude-sonnet-4-6,restestbench,fastapi,fastapi-R4R10R13R30R35R47,gpt-4.1-mini,oneshot-tracker,6,21,3,0,6,15,5,0,0,3,0
gpt-5.4,restestbench,fastapi,fastapi-R4R10R13R30R35R47,gpt-4.1-mini,oneshot-tracker,6,21,3,3,2,16,5,0,0,3,0
claude-sonnet-4-6,restestbench,fastapi,fastapi-R4R10R13R30R35R47,gpt-4.1-mini,oneshot-warehouse,6,25,3,4,2,19,4,0,0,3,0
gpt-5.4,restestbench,fastapi,fastapi-R4R10R13R30R35R47,gpt-4.1-mini,oneshot-warehouse,6,25,3,5,3,17,5,0,0,3,0
claude-sonnet-4-6,restestbench,fastapi,fastapi-R4R10R13R30R35R47,gpt-4.1-mini,twoshot,6,35,2,2,8,25,6,0,0,2,0
gpt-5.4,restestbench,fastapi,fastapi-R4R10R13R30R35R47,gpt-4.1-mini,twoshot,6,35,2,5,4,26,6,0,1,1,1
claude-sonnet-4-6,restestbench,fastapi,fastapi-R4R10R13R30R35R47,gpt-4.1-mini,zeroshot,6,17,2,4,3,10,4,0,0,2,0
gpt-5.4,restestbench,fastapi,fastapi-R4R10R13R30R35R47,gpt-4.1-mini,zeroshot,6,17,2,5,0,12,3,0,0,2,0
claude-sonnet-4-6,restestbench,fastapi,fastapi-R4R10R13R30R35R47,gpt-5.4,oneshot-tracker,6,3,4,1,1,1,2,0,0,4,0
gpt-5.4,restestbench,fastapi,fastapi-R4R10R13R30R35R47,gpt-5.4,oneshot-tracker,6,3,4,2,0,1,2,0,1,3,1
claude-sonnet-4-6,restestbench,fastapi,fastapi-R4R10R13R30R35R47,gpt-5.4,oneshot-warehouse,6,3,0,1,1,1,2,0,0,0,0
gpt-5.4,restestbench,fastapi,fastapi-R4R10R13R30R35R47,gpt-5.4,oneshot-warehouse,6,3,0,2,0,1,2,0,0,0,0
claude-sonnet-4-6,restestbench,fastapi,fastapi-R4R10R13R30R35R47,gpt-5.4,twoshot,6,2,3,0,2,0,2,0,0,3,0
gpt-5.4,restestbench,fastapi,fastapi-R4R10R13R30R35R47,gpt-5.4,twoshot,6,2,3,2,0,0,2,0,0,3,0
claude-sonnet-4-6,restestbench,fastapi,fastapi-R4R10R13R30R35R47,gpt-5.4,zeroshot,6,4,4,1,1,2,2,0,0,4,0
gpt-5.4,restestbench,fastapi,fastapi-R4R10R13R30R35R47,gpt-5.4,zeroshot,6,4,4,2,0,2,2,0,0,4,0
claude-sonnet-4-6,restestbench,realworld,realworld-R2R10R13R15R24R26R28,DeepSeek-V3-0324,oneshot-tracker,7,6,3,2,3,2,4,0,0,3,0
gpt-5.4,restestbench,realworld,realworld-R2R10R13R15R24R26R28,DeepSeek-V3-0324,oneshot-tracker,7,6,3,3,2,2,4,0,0,3,0
claude-sonnet-4-6,restestbench,realworld,realworld-R2R10R13R15R24R26R28,DeepSeek-V3-0324,oneshot-warehouse,7,5,4,2,2,1,3,0,0,4,0
gpt-5.4,restestbench,realworld,realworld-R2R10R13R15R24R26R28,DeepSeek-V3-0324,oneshot-warehouse,7,5,4,4,0,1,3,0,0,4,0
claude-sonnet-4-6,restestbench,realworld,realworld-R2R10R13R15R24R26R28,DeepSeek-V3-0324,twoshot,7,5,3,0,3,3,3,1,0,2,1
gpt-5.4,restestbench,realworld,realworld-R2R10R13R15R24R26R28,DeepSeek-V3-0324,twoshot,7,5,3,1,1,3,2,0,1,2,1
claude-sonnet-4-6,restestbench,realworld,realworld-R2R10R13R15R24R26R28,DeepSeek-V3-0324,zeroshot,7,4,3,3,0,1,2,0,1,2,1
gpt-5.4,restestbench,realworld,realworld-R2R10R13R15R24R26R28,DeepSeek-V3-0324,zeroshot,7,4,3,1,2,1,2,0,0,3,0
claude-sonnet-4-6,restestbench,realworld,realworld-R2R10R13R15R24R26R28,claude-sonnet-4-6,oneshot-tracker,7,8,7,3,1,4,3,0,2,5,1
gpt-5.4,restestbench,realworld,realworld-R2R10R13R15R24R26R28,claude-sonnet-4-6,oneshot-tracker,7,8,7,1,3,4,3,0,2,5,1
claude-sonnet-4-6,restestbench,realworld,realworld-R2R10R13R15R24R26R28,claude-sonnet-4-6,oneshot-warehouse,7,8,7,4,1,3,4,2,1,4,2
gpt-5.4,restestbench,realworld,realworld-R2R10R13R15R24R26R28,claude-sonnet-4-6,oneshot-warehouse,7,8,7,4,2,2,4,0,2,5,1
claude-sonnet-4-6,restestbench,realworld,realworld-R2R10R13R15R24R26R28,claude-sonnet-4-6,twoshot,7,7,7,4,1,2,4,2,0,5,1
gpt-5.4,restestbench,realworld,realworld-R2R10R13R15R24R26R28,claude-sonnet-4-6,twoshot,7,7,7,4,1,2,4,0,2,5,1
claude-sonnet-4-6,restestbench,realworld,realworld-R2R10R13R15R24R26R28,claude-sonnet-4-6,zeroshot,7,5,7,4,0,1,3,2,1,4,2
gpt-5.4,restestbench,realworld,realworld-R2R10R13R15R24R26R28,claude-sonnet-4-6,zeroshot,7,5,7,3,1,1,3,0,2,5,1
claude-sonnet-4-6,restestbench,realworld,realworld-R2R10R13R15R24R26R28,gpt-4.1-mini,oneshot-tracker,7,20,6,4,7,12,7,3,0,4,3
gpt-5.4,restestbench,realworld,realworld-R2R10R13R15R24R26R28,gpt-4.1-mini,oneshot-tracker,7,20,6,5,7,12,7,0,3,4,3
claude-sonnet-4-6,restestbench,realworld,realworld-R2R10R13R15R24R26R28,gpt-4.1-mini,oneshot-warehouse,7,15,19,3,4,9,5,4,6,11,6
gpt-5.4,restestbench,realworld,realworld-R2R10R13R15R24R26R28,gpt-4.1-mini,oneshot-warehouse,7,15,19,5,2,9,5,3,7,11,6
claude-sonnet-4-6,restestbench,realworld,realworld-R2R10R13R15R24R26R28,gpt-4.1-mini,twoshot,7,14,10,4,1,9,4,3,1,6,4
gpt-5.4,restestbench,realworld,realworld-R2R10R13R15R24R26R28,gpt-4.1-mini,twoshot,7,14,10,4,1,9,4,3,1,6,4
claude-sonnet-4-6,restestbench,realworld,realworld-R2R10R13R15R24R26R28,gpt-4.1-mini,zeroshot,7,10,8,2,4,5,4,3,0,5,3
gpt-5.4,restestbench,realworld,realworld-R2R10R13R15R24R26R28,gpt-4.1-mini,zeroshot,7,10,8,5,0,6,4,0,3,5,3
claude-sonnet-4-6,restestbench,realworld,realworld-R2R10R13R15R24R26R28,gpt-5.4,oneshot-tracker,7,7,7,6,0,1,4,0,0,7,0
gpt-5.4,restestbench,realworld,realworld-R2R10R13R15R24R26R28,gpt-5.4,oneshot-tracker,7,7,7,5,1,1,4,0,0,7,0
claude-sonnet-4-6,restestbench,realworld,realworld-R2R10R13R15R24R26R28,gpt-5.4,oneshot-warehouse,7,7,9,6,0,1,4,0,0,9,0
gpt-5.4,restestbench,realworld,realworld-R2R10R13R15R24R26R28,gpt-5.4,oneshot-warehouse,7,7,9,5,1,1,4,0,1,8,1
claude-sonnet-4-6,restestbench,realworld,realworld-R2R10R13R15R24R26R28,gpt-5.4,twoshot,7,7,6,5,2,1,3,0,0,6,0
gpt-5.4,restestbench,realworld,realworld-R2R10R13R15R24R26R28,gpt-5.4,twoshot,7,7,6,5,1,1,3,0,0,6,0
claude-sonnet-4-6,restestbench,realworld,realworld-R2R10R13R15R24R26R28,gpt-5.4,zeroshot,7,7,6,6,0,1,4,0,0,6,0
gpt-5.4,restestbench,realworld,realworld-R2R10R13R15R24R26R28,gpt-5.4,zeroshot,7,7,6,6,0,1,4,0,0,6,0
claude-sonnet-4-6,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,DeepSeek-V3-0324,oneshot-tracker,9,10,2,1,4,7,5,0,0,2,0
gpt-5.4,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,DeepSeek-V3-0324,oneshot-tracker,9,10,2,3,2,7,5,0,0,2,0
claude-sonnet-4-6,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,DeepSeek-V3-0324,oneshot-warehouse,9,6,3,2,5,1,7,0,0,3,0
gpt-5.4,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,DeepSeek-V3-0324,oneshot-warehouse,9,6,3,2,5,1,7,0,0,3,0
claude-sonnet-4-6,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,DeepSeek-V3-0324,twoshot,9,7,2,2,3,4,5,0,0,2,0
gpt-5.4,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,DeepSeek-V3-0324,twoshot,9,7,2,2,3,4,5,0,0,2,0
claude-sonnet-4-6,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,DeepSeek-V3-0324,zeroshot,9,7,3,7,1,1,7,0,0,3,0
gpt-5.4,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,DeepSeek-V3-0324,zeroshot,9,7,3,6,2,1,7,0,0,3,0
claude-sonnet-4-6,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,claude-sonnet-4-6,oneshot-tracker,9,8,4,9,1,1,7,3,0,1,3
gpt-5.4,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,claude-sonnet-4-6,oneshot-tracker,9,8,4,8,1,1,7,0,3,1,3
claude-sonnet-4-6,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,claude-sonnet-4-6,oneshot-warehouse,9,8,4,7,2,0,7,0,2,2,1
gpt-5.4,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,claude-sonnet-4-6,oneshot-warehouse,9,8,4,8,2,0,7,0,2,2,1
claude-sonnet-4-6,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,claude-sonnet-4-6,twoshot,9,7,4,9,0,0,7,2,0,2,2
gpt-5.4,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,claude-sonnet-4-6,twoshot,9,7,4,9,0,0,7,0,2,2,2
claude-sonnet-4-6,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,claude-sonnet-4-6,zeroshot,9,8,4,7,1,2,7,1,2,1,3
gpt-5.4,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,claude-sonnet-4-6,zeroshot,9,8,4,8,0,2,7,0,3,1,3
claude-sonnet-4-6,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,gpt-4.1-mini,oneshot-tracker,9,13,6,6,1,8,7,1,2,3,2
gpt-5.4,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,gpt-4.1-mini,oneshot-tracker,9,13,6,5,2,8,7,0,4,2,2
claude-sonnet-4-6,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,gpt-4.1-mini,oneshot-warehouse,9,14,8,6,4,6,8,4,3,3,5
gpt-5.4,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,gpt-4.1-mini,oneshot-warehouse,9,14,8,6,4,6,8,4,3,3,5
claude-sonnet-4-6,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,gpt-4.1-mini,twoshot,9,18,8,6,3,11,7,1,3,4,4
gpt-5.4,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,gpt-4.1-mini,twoshot,9,18,8,6,3,11,7,1,4,3,4
claude-sonnet-4-6,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,gpt-4.1-mini,zeroshot,9,18,9,8,3,9,8,1,2,6,3
gpt-5.4,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,gpt-4.1-mini,zeroshot,9,18,9,7,2,10,8,1,2,6,3
claude-sonnet-4-6,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,gpt-5.4,oneshot-tracker,9,10,9,7,1,4,8,0,1,8,1
gpt-5.4,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,gpt-5.4,oneshot-tracker,9,10,9,7,1,4,8,0,3,6,3
claude-sonnet-4-6,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,gpt-5.4,oneshot-warehouse,9,12,6,6,4,4,9,0,1,5,1
gpt-5.4,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,gpt-5.4,oneshot-warehouse,9,12,6,8,2,4,9,0,1,5,1
claude-sonnet-4-6,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,gpt-5.4,twoshot,9,12,4,8,3,3,8,0,0,4,0
gpt-5.4,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,gpt-5.4,twoshot,9,12,4,7,5,3,8,0,0,4,0
claude-sonnet-4-6,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,gpt-5.4,zeroshot,9,13,5,13,1,2,9,0,2,3,2
gpt-5.4,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,gpt-5.4,zeroshot,9,13,5,12,2,2,9,0,2,3,2
claude-sonnet-4-6,restestbench,todoapp,todoapp-R1R2R4R5R7R8R10R12,DeepSeek-V3-0324,oneshot-tracker,8,3,3,0,2,1,2,0,0,3,0
gpt-5.4,restestbench,todoapp,todoapp-R1R2R4R5R7R8R10R12,DeepSeek-V3-0324,oneshot-tracker,8,3,3,2,0,1,2,0,0,3,0
claude-sonnet-4-6,restestbench,todoapp,todoapp-R1R2R4R5R7R8R10R12,DeepSeek-V3-0324,oneshot-warehouse,8,2,2,1,1,0,2,0,1,1,1
gpt-5.4,restestbench,todoapp,todoapp-R1R2R4R5R7R8R10R12,DeepSeek-V3-0324,oneshot-warehouse,8,2,2,1,1,0,2,0,1,1,1
claude-sonnet-4-6,restestbench,todoapp,todoapp-R1R2R4R5R7R8R10R12,DeepSeek-V3-0324,twoshot,8,3,1,2,0,1,2,0,1,0,1
gpt-5.4,restestbench,todoapp,todoapp-R1R2R4R5R7R8R10R12,DeepSeek-V3-0324,twoshot,8,3,1,2,0,1,2,0,1,0,1
claude-sonnet-4-6,restestbench,todoapp,todoapp-R1R2R4R5R7R8R10R12,DeepSeek-V3-0324,zeroshot,8,3,3,0,2,1,2,0,1,2,1
gpt-5.4,restestbench,todoapp,todoapp-R1R2R4R5R7R8R10R12,DeepSeek-V3-0324,zeroshot,8,3,3,2,0,1,2,0,1,2,1
claude-sonnet-4-6,restestbench,todoapp,todoapp-R1R2R4R5R7R8R10R12,claude-sonnet-4-6,oneshot-tracker,8,3,3,2,0,1,2,0,0,3,0
gpt-5.4,restestbench,todoapp,todoapp-R1R2R4R5R7R8R10R12,claude-sonnet-4-6,oneshot-tracker,8,3,3,2,0,1,2,0,0,3,0
claude-sonnet-4-6,restestbench,todoapp,todoapp-R1R2R4R5R7R8R10R12,claude-sonnet-4-6,oneshot-warehouse,8,2,1,2,0,0,2,0,0,1,0
gpt-5.4,restestbench,todoapp,todoapp-R1R2R4R5R7R8R10R12,claude-sonnet-4-6,oneshot-warehouse,8,2,1,2,0,0,2,0,0,1,0
claude-sonnet-4-6,restestbench,todoapp,todoapp-R1R2R4R5R7R8R10R12,claude-sonnet-4-6,twoshot,8,2,0,2,0,0,2,0,0,0,0
gpt-5.4,restestbench,todoapp,todoapp-R1R2R4R5R7R8R10R12,claude-sonnet-4-6,twoshot,8,2,0,2,0,0,2,0,0,0,0
claude-sonnet-4-6,restestbench,todoapp,todoapp-R1R2R4R5R7R8R10R12,claude-sonnet-4-6,zeroshot,8,2,0,1,1,0,2,0,0,0,0
gpt-5.4,restestbench,todoapp,todoapp-R1R2R4R5R7R8R10R12,claude-sonnet-4-6,zeroshot,8,2,0,1,1,0,2,0,0,0,0
claude-sonnet-4-6,restestbench,todoapp,todoapp-R1R2R4R5R7R8R10R12,gpt-4.1-mini,oneshot-tracker,8,6,2,2,2,3,4,0,0,2,0
gpt-5.4,restestbench,todoapp,todoapp-R1R2R4R5R7R8R10R12,gpt-4.1-mini,oneshot-tracker,8,6,2,3,1,3,4,0,0,2,0
claude-sonnet-4-6,restestbench,todoapp,todoapp-R1R2R4R5R7R8R10R12,gpt-4.1-mini,oneshot-warehouse,8,7,3,2,0,5,2,0,0,3,0
gpt-5.4,restestbench,todoapp,todoapp-R1R2R4R5R7R8R10R12,gpt-4.1-mini,oneshot-warehouse,8,7,3,5,0,4,5,0,0,3,0
claude-sonnet-4-6,restestbench,todoapp,todoapp-R1R2R4R5R7R8R10R12,gpt-4.1-mini,twoshot,8,10,1,4,0,6,2,0,0,1,0
gpt-5.4,restestbench,todoapp,todoapp-R1R2R4R5R7R8R10R12,gpt-4.1-mini,twoshot,8,10,1,7,1,4,6,0,0,1,0
claude-sonnet-4-6,restestbench,todoapp,todoapp-R1R2R4R5R7R8R10R12,gpt-4.1-mini,zeroshot,8,6,3,2,0,4,2,0,0,3,0
gpt-5.4,restestbench,todoapp,todoapp-R1R2R4R5R7R8R10R12,gpt-4.1-mini,zeroshot,8,6,3,3,1,2,4,0,0,3,0
claude-sonnet-4-6,restestbench,todoapp,todoapp-R1R2R4R5R7R8R10R12,gpt-5.4,oneshot-tracker,8,5,3,2,1,2,2,0,0,3,0
gpt-5.4,restestbench,todoapp,todoapp-R1R2R4R5R7R8R10R12,gpt-5.4,oneshot-tracker,8,5,3,3,0,2,2,0,0,3,0
claude-sonnet-4-6,restestbench,todoapp,todoapp-R1R2R4R5R7R8R10R12,gpt-5.4,oneshot-warehouse,8,4,4,1,2,1,2,0,0,4,0
gpt-5.4,restestbench,todoapp,todoapp-R1R2R4R5R7R8R10R12,gpt-5.4,oneshot-warehouse,8,4,4,1,2,1,2,0,0,4,0
claude-sonnet-4-6,restestbench,todoapp,todoapp-R1R2R4R5R7R8R10R12,gpt-5.4,twoshot,8,3,4,2,0,1,2,0,0,4,0
gpt-5.4,restestbench,todoapp,todoapp-R1R2R4R5R7R8R10R12,gpt-5.4,twoshot,8,3,4,2,0,1,2,0,0,4,0
claude-sonnet-4-6,restestbench,todoapp,todoapp-R1R2R4R5R7R8R10R12,gpt-5.4,zeroshot,8,2,5,2,0,0,2,0,0,5,0
gpt-5.4,restestbench,todoapp,todoapp-R1R2R4R5R7R8R10R12,gpt-5.4,zeroshot,8,2,5,2,0,0,2,0,0,5,0
claude-sonnet-4-6,microservices,nutrition,auth-R1R2R3,DeepSeek-V3-0324,oneshot-tracker,3,3,5,1,1,1,2,1,0,4,1
gpt-5.4,microservices,nutrition,auth-R1R2R3,DeepSeek-V3-0324,oneshot-tracker,3,3,5,1,1,1,2,0,2,3,2
claude-sonnet-4-6,microservices,nutrition,auth-R1R2R3,DeepSeek-V3-0324,oneshot-warehouse,3,4,3,1,3,0,3,0,0,3,0
gpt-5.4,microservices,nutrition,auth-R1R2R3,DeepSeek-V3-0324,oneshot-warehouse,3,4,3,1,3,0,3,0,0,3,0
claude-sonnet-4-6,microservices,nutrition,auth-R1R2R3,DeepSeek-V3-0324,twoshot,3,3,3,0,2,1,1,1,0,2,1
gpt-5.4,microservices,nutrition,auth-R1R2R3,DeepSeek-V3-0324,twoshot,3,3,3,0,2,1,1,1,0,2,1
claude-sonnet-4-6,microservices,nutrition,auth-R1R2R3,DeepSeek-V3-0324,zeroshot,3,3,4,1,2,0,2,0,0,4,0
gpt-5.4,microservices,nutrition,auth-R1R2R3,DeepSeek-V3-0324,zeroshot,3,3,4,1,2,0,2,0,0,4,0
claude-sonnet-4-6,microservices,nutrition,auth-R1R2R3,claude-sonnet-4-6,oneshot-tracker,3,4,6,1,3,0,3,1,3,2,2
gpt-5.4,microservices,nutrition,auth-R1R2R3,claude-sonnet-4-6,oneshot-tracker,3,4,6,1,3,0,3,1,3,2,2
claude-sonnet-4-6,microservices,nutrition,auth-R1R2R3,claude-sonnet-4-6,oneshot-warehouse,3,6,5,1,4,1,2,1,2,2,2
gpt-5.4,microservices,nutrition,auth-R1R2R3,claude-sonnet-4-6,oneshot-warehouse,3,6,5,1,4,1,2,1,2,2,2
